Chaser,TeamScore,ChaserScore,TimeLeft,Win
360,Anne,14,14,(0:42),0
361,Mark,14,14,(0:03),0
362,Paul,19,19,(0:34),0
363,Mark,20,15,,1
364,Shaun,17,17,(0:06),0
365,Paul,19,18,,1
366,Shaun,17,17,(0:12),0
367,Mark,17,17,(0:15),0
368,Shaun,18,15,,1
369,Anne,15,15,(0:54),0
370,Paul,22,22,(0:00),0
371,Mark,21,20,,1
372,Anne,10,10,(1:03),0
373,Paul,22,17,,1
374,Shaun,15,15,(0:21),0
375,Shaun,19,17,,1
376,Anne,17,17,(0:16),0
377,Mark,11,11,(0:58),0
378,Shaun,12,12,(0:10),0
379,Mark,17,17,(0:04),0
380,Paul,11,11,(0:50),0
381,Mark,21,16,,1
382,Shaun,16,16,(0:31),0
383,Anne,21,21,(0:07),0
384,Shaun,10,10,(1:02),0
385,Anne,14,14,(0:15),0
386,Anne,11,11,(0:54),0
387,Shaun,21,7,,1
388,Mark,19,19,(0:09),0
389,Anne,18,18,(0:30),0
390,Paul,17,16,,1
391,Shaun,17,17,(0:30),0
392,Paul,18,18,(0:02),0
393,Mark,16,16,(0:35),0
394,Shaun,17,16,,1
395,Paul,18,18,(0:07),0
396,Mark,17,17,(0:15),0
397,Paul,15,15,(0:40),0
398,Paul,17,15,,1
399,Anne,18,18,(0:33),0
400,Paul,15,12,,1
401,Mark,19,19,(0:27),0
402,Shaun,13,13,(0:23),0
403,Paul,22,22,(0:11),0
404,Anne,17,17,(0:17),0
405,Mark,20,18,,1
406,Paul,18,18,(0:15),0
407,Shaun,17,14,,1
408,Paul,14,14,(0:21),0
409,Anne,12,12,(0:48),0
410,Shaun,13,13,(0:45),0
411,Mark,17,17,(0:24),0
412,Anne,18,14,,1
413,Paul,23,21,,1
414,Anne,17,17,(0:14),0
415,Mark,16,13,,1
416,Paul,16,16,(0:03),0
417,Shaun,17,17,(0:21),0
418,Anne,18,18,(0:12),0
419,Anne,14,14,(0:47),0
420,Mark,19,18,,1
421,Shaun,17,17,(0:02),0
422,Mark,19,19,(0:06),0
423,Paul,11,11,(1:01),0
424,Paul,15,15,(0:48),0
425,Anne,16,16,(0:39),0
426,Shaun,16,16,(0:35),0
427,Anne,18,15,,1
428,Mark,13,13,(0:27),0
429,Shaun,15,15,(0:22),0
430,Mark,17,17,(0:38),0
431,Shaun,20,17,,1
432,Anne,17,17,(0:41),0
433,Paul,18,18,(0:03),0
434,Anne,15,15,(0:20),0
435,Paul,17,17,(0:36),0
436,Mark,17,17,(0:40),0
437,Paul,21,20,,1
438,Shaun,10,10,(0:17),0
439,Mark,19,19,(0:11),0
440,Anne,17,17,(0:04),0
441,Shaun,13,13,(0:44),0
442,Mark,18,14,,1
443,Paul,15,15,(0:41),0
444,Anne,20,18,,1
445,Mark,18,18,(0:44),0
446,Shaun,16,16,(0:07),0
447,Paul,19,18,,1
448,Anne,14,14,(0:23),0
449,Shaun,15,15,(0:44),0
450,Mark,18,18,(0:01),0
451,Paul,16,14,,1
452,Paul,14,14,(0:44),0
453,Anne,12,12,(0:07),0
454,Mark,15,15,(0:09),0
455,Paul,11,11,(0:31),0
456,Shaun,14,14,(0:33),0
457,Shaun,24,11,,1
458,Paul,14,14,(0:46),0
459,Anne,12,12,(0:29),0
460,Shaun,18,14,,1
461,Mark,16,16,(0:24),0
462,Anne,17,17,(0:11),0
463,Mark,19,19,(0:07),0
464,Shaun,15,9,,1
465,Mark,8,8,(1:22),0
466,Anne,16,16,(0:45),0
467,Paul,13,13,(0:38),0
468,Shaun,19,19,(0:02),0
469,Anne,13,13,(0:55),0
470,Paul,17,10,,1
471,Mark,22,22,(0:00),0
472,Mark,15,15,(0:30),0
473,Anne,18,11,,1
474,Paul,15,15,(0:39),0
475,Shaun,19,15,,1
476,Anne,14,14,(0:56),0
477,Anne,14,14,(0:20),0
478,Shaun,12,12,(0:38),0
479,Paul,18,18,(0:10),0
480,Mark,17,17,(0:25),0
481,Shaun,10,10,(1:09),0
482,Shaun,15,15,(0:51),0
483,Paul,17,17,(0:19),0
484,Anne,10,10,(0:59),0
485,Shaun,17,12,,1
486,Mark,20,20,(0:25),0
487,Paul,19,19,(0:28),0
488,Mark,16,16,(0:27),0
489,Anne,17,17,(0:02),0
490,Shaun,10,10,(1:11),0
491,Paul,14,12,,1
492,Anne,20,20,(0:05),0
493,Paul,20,20,(0:06),0
494,Mark,15,15,(0:08),0
495,Anne,23,17,,1
496,Shaun,12,12,(0:00),0
497,Mark,13,13,(0:31),0
498,Paul,17,17,(0:24),0
499,Mark,21,13,,1
500,Anne,16,16,(0:13),0
501,Shaun,15,15,(0:28),0
502,Anne,15,15,(0:48),0
503,Shaun,17,16,,1
504,Mark,12,12,(0:55),0
505,Shaun,12,12,(0:29),0
506,Paul,14,14,(0:43),0
507,Shaun,14,14,(1:00),0
508,Paul,15,15,(0:44),0
509,Anne,10,10,(0:42),0
510,Paul,22,16,,1
511,Mark,14,14,(0:00),0
512,Anne,13,13,(0:56),0
513,Paul,17,17,(0:33),0
514,Mark,16,16,(0:16),0
515,Shaun,9,9,(0:42),0
516,Anne,17,11,,1
517,Paul,16,16,(0:06),0
518,Anne,18,18,(0:16),0
519,Mark,21,17,,1
520,Shaun,13,13,(0:47),0
521,Mark,19,19,(0:12),0
522,Shaun,12,12,(0:58),0
523,Mark,15,15,(0:25),0
524,Anne,7,7,(1:31),0
525,Shaun,19,14,,1
526,Paul,19,19,(0:10),0
527,Mark,10,10,(0:54),0
528,Paul,24,16,,1
529,Shaun,18,18,(0:05),0
530,Anne,16,16,(0:28),0
531,Paul,19,19,(0:25),0
532,Anne,19,19,(0:21),0
533,Paul,14,14,(0:05),0
534,Shaun,18,10,,1
535,Mark,14,14,(0:43),0
536,Anne,7,7,(1:08),0
537,Shaun,17,16,,1
538,Anne,10,10,(1:13),0
539,Paul,16,16,(0:21),0
540,Mark,17,11,,1
541,Paul,15,15,(0:32),0
542,Anne,15,12,,1
543,Mark,13,13,(0:18),0
544,Shaun,12,12,(0:38),0
545,Paul,12,12,(0:30),0
546,Anne,13,13,(0:31),0
547,Paul,15,15,(0:32),0
548,Mark,17,17,(0:26),0
549,Shaun,19,14,,1
550,Anne,11,11,(1:09),0
551,Paul,17,17,(0:05),0
552,Mark,16,16,(0:13),0
553,Shaun,12,12,(0:17),0
554,Paul,18,18,(0:28),0
555,Anne,17,15,,1
556,Shaun,15,15,(0:36),0
557,Anne,13,13,(0:40),0
558,Shaun,20,11,,1
559,Mark,19,19,(0:05),0
560,Paul,16,16,(0:02),0
561,Mark,18,18,(0:25),0
562,Anne,16,16,(0:42),0
563,Mark,22,18,,1
564,Paul,19,19,(0:14),0
565,Mark,12,12,(0:35),0
566,Anne,19,15,,1
567,Paul,15,15,(0:21),0
568,Mark,18,18,(0:14),0
569,Anne,20,19,,1
570,Mark,13,13,(0:19),0
571,Shaun,19,19,(0:10),0
572,Anne,18,18,(0:24),0
573,Paul,18,16,,1
574,Paul,16,16,(0:21),0
575,Anne,16,16,(0:36),0
576,Mark,24,14,,1
577,Shaun,16,16,(0:44),0
578,Mark,17,17,(0:11),0
579,Shaun,15,15,(0:19),0
580,Mark,20,20,(0:01),0
581,Anne,14,14,(0:46),0
582,Shaun,19,15,,1
583,Paul,17,17,(0:05),0
584,Mark,15,15,(0:30),0
585,Paul,20,19,,1
586,Shaun,11,11,(0:00),0
587,Anne,19,16,,1
588,Paul,15,15,(0:43),0
589,Anne,16,16,(0:32),0
590,Paul,16,16,(0:46),0
591,Anne,17,16,,1
592,Shaun,12,12,(0:51),0
593,Mark,13,13,(0:44),0
594,Shaun,15,15,(0:03),0
595,Mark,9,9,(1:06),0
596,Anne,15,15,(0:21),0
597,Mark,19,15,,1
598,Paul,16,16,(0:26),0
599,Paul,18,18,(0:15),0
600,Shaun,19,17,,1
601,Mark,18,18,(0:24),0
602,Anne,13,13,(1:01),0
603,Shaun,13,13,(0:56),0
604,Mark,12,12,(0:26),0
605,Shaun,18,15,,1
606,Paul,21,19,,1
607,Anne,8,8,(0:58),0
608,Paul,15,15,(0:50),0
609,Paul,18,18,(0:09),0
610,Paul,18,18,(0:04),0
611,Mark,14,14,(1:00),0
612,Anne,24,13,,1
613,Shaun,15,15,(0:26),0
614,Shaun,10,10,(0:18),0
615,Anne,13,13,(0:42),0
616,Shaun,15,12,,1
617,Mark,18,18,(0:03),0
618,Paul,23,22,,1
619,Anne,14,14,(0:14),0
620,Mark,19,12,,1
621,Shaun,14,14,(0:40),0
622,Paul,18,18,(0:26),0
623,Mark,15,15,(0:43),0
624,Paul,14,14,(0:11),0
625,Anne,18,18,(0:01),0
626,Mark,12,12,(0:58),0
627,Paul,16,15,,1
628,Shaun,13,13,(0:45),0
629,Mark,20,20,(0:06),0
630,Anne,21,19,,1
631,Paul,19,19,(0:25),0
632,Shaun,13,13,(0:33),0
633,Anne,15,15,(0:25),0
634,Shaun,11,11,(0:51),0
635,Mark,16,16,(0:36),0
636,Shaun,15,11,,1
637,Paul,16,16,(0:11),0
638,Shaun,14,14,(0:34),0
639,Anne,17,13,,1
640,Mark,10,10,(1:14),0
641,Paul,16,16,(0:22),0
642,Anne,18,18,(0:17),0
643,Shaun,11,11,(0:35),0
644,Paul,17,17,(0:11),0
645,Anne,15,15,(0:12),0
646,Shaun,18,12,,1
647,Mark,12,12,(0:34),0
648,Shaun,10,10,(0:51),0
649,Anne,20,8,,1
650,Mark,9,9,(0:53),0
651,Paul,21,17,,1
652,Anne,21,21,(0:02),0
653,Mark,14,14,(0:20),0
654,Shaun,10,10,(0:41),0
655,Mark,19,16,,1
656,Anne,16,16,(0:04),0
657,Paul,14,14,(0:43),0
658,Anne,21,21,(0:01),0
659,Paul,20,17,,1
660,Mark,16,16,(0:34),0
661,Shaun,12,12,(0:14),0
662,Mark,12,12,(0:34),0
663,Paul,13,13,(0:40),0
664,Anne,17,17,(0:10),0
665,Shaun,11,10,,1
666,Paul,20,19,,1
667,Mark,16,16,(0:29),0
668,Mark,19,19,(0:38),0
669,Anne,19,18,,1
670,Shaun,12,12,(0:19),0
671,Paul,17,17,(0:31),0
672,Mark,15,15,(0:34),0
673,Paul,21,19,,1
674,Mark,16,16,(0:24),0
675,Anne,13,13,(0:40),0
676,Shaun,19,16,,1
677,Anne,9,9,(0:43),0
678,Anne,20,10,,1
679,Mark,14,14,(0:38),0
680,Paul,17,13,,1
681,Mark,18,18,(0:40),0
682,Shaun,12,12,(0:28),0
683,Mark,13,13,(0:04),0
684,Paul,15,13,,1
685,Anne,10,10,(0:56),0
686,Shaun,17,15,,1
687,Paul,13,13,(0:27),0
688,Anne,14,14,(0:10),0
689,Mark,18,18,(0:21),0
690,Paul,20,16,,1
691,Mark,18,18,(0:06),0
692,Shaun,9,9,(1:13),0
693,Mark,18,18,(0:25),0
694,Anne,19,17,,1
695,Shaun,6,6,(0:48),0
696,Anne,20,20,(0:14),0
697,Paul,16,16,(0:07),0
698,Shaun,16,14,,1
699,Mark,14,14,(0:26),0
700,Paul,22,12,,1
701,Anne,13,13,(0:48),0
702,Paul,16,16,(0:23),0
703,Anne,17,17,(0:32),0
704,Shaun,13,13,(0:22),0
705,Paul,18,18,(0:03),0
706,Anne,20,18,,1
707,Mark,13,13,(0:10),0
708,Paul,13,13,(0:29),0
709,Mark,18,18,(0:02),0
710,Shaun,20,14,,1
711,Mark,15,15,(0:29),0
712,Paul,14,14,(0:36),0
713,Anne,15,15,(0:41),0
714,Anne,11,11,(1:05),0
715,Paul,17,17,(0:27),0
716,Shaun,20,20,(0:01),0
717,Anne,18,16,,1
718,Mark,13,13,(0:55),0
719,Shaun,15,13,,1
720,Mark,19,19,(0:02),0
721,Anne,22,19,,1
722,Paul,11,11,(1:02),0
723,Jenny,10,10,(0:43),0
724,Anne,23,23,(0:03),0
725,Paul,16,14,,1
726,Mark,16,16,(0:22),0
727,Shaun,15,15,(0:07),0
728,Jenny,13,13,(0:31),0
729,Shaun,16,12,,1
730,Paul,13,13,(0:52),0
731,Mark,17,14,,1
732,Anne,18,18,(0:05),0
733,Shaun,12,12,(0:58),0
734,Mark,13,13,(0:59),0
735,Shaun,17,14,,1
736,Paul,15,15,(0:34),0
737,Anne,20,19,,1
738,Jenny,16,16,(0:28),0
739,Anne,15,15,(0:49),0
740,Paul,20,16,,1
741,Mark,15,15,(0:01),0
742,Paul,15,15,(0:20),0
743,Shaun,17,16,,1
744,Paul,18,14,,1
745,Anne,16,16,(0:07),0
746,Mark,23,18,,1
747,Jenny,16,16,(0:23),0
748,Shaun,6,6,(1:29),0
749,Jenny,16,16,(0:13),0
750,Shaun,18,18,(0:14),0
751,Paul,16,16,(0:19),0
752,Anne,21,18,,1
753,Mark,12,12,(0:49),0
754,Shaun,16,10,,1
755,Mark,11,11,(1:04),0
756,Paul,17,14,,1
757,Shaun,12,12,(0:17),0
758,Anne,14,14,(0:25),0
759,Shaun,15,15,(0:10),0
760,Anne,20,16,,1
761,Jenny,18,18,(0:28),0
762,Mark,25,21,,1
763,Paul,16,16,(0:01),0
764,Mark,18,18,(0:34),0
765,Paul,12,12,(0:44),0
766,Shaun,17,11,,1
767,Anne,17,17,(0:27),0
768,Paul,18,10,,1
769,Jenny,18,18,(0:01),0
770,Anne,19,8,,1
771,Paul,14,14,(0:33),0
772,Shaun,18,18,(0:33),0
773,Mark,3,3,(1:48),0
774,Paul,23,15,,1
775,Jenny,17,17,(0:23),0
776,Shaun,9,9,(0:48),0
777,Mark,21,19,,1
778,Anne,14,14,(0:42),0
779,Mark,15,15,(0:20),0
780,Anne,20,19,,1
781,Paul,11,11,(1:12),0
782,Shaun,18,12,,1
783,Anne,17,17,(0:20),0
784,Anne,13,13,(0:11),0
785,Mark,19,19,(0:02),0
786,Paul,14,13,,1
787,Anne,10,10,(0:49),0
788,Paul,11,11,(0:48),0
789,Anne,21,19,,1
790,Paul,15,15,(0:41),0
791,Jenny,15,15,(0:36),0
792,Shaun,17,11,,1
793,Mark,18,18,(0:14),0
794,Jenny,16,16,(0:23),0
795,Mark,19,17,,1
796,Paul,18,18,(0:04),0
797,Shaun,16,14,,1
798,Anne,11,11,(0:19),0
799,Paul,20,20,(0:16),0
800,Jenny,19,16,,1
801,Shaun,16,16,(0:01),0
802,Mark,11,11,(1:02),0
803,Mark,13,13,(1:03),0
804,Paul,20,18,,1
805,Jenny,17,17,(0:32),0
806,Anne,17,17,(0:41),0
807,Shaun,10,10,(0:25),0
808,Jenny,19,19,(0:06),0
809,Shaun,15,15,(0:34),0
810,Mark,14,14,(0:50),0
811,Anne,16,14,,1
812,Paul,18,18,(0:10),0
813,Shaun,16,10,,1
814,Anne,19,19,(0:27),0
815,Mark,15,15,(0:40),0
816,Paul,18,18,(0:20),0
817,Jenny,17,17,(0:05),0
818,Paul,18,18,(0:30),0
819,Jenny,17,17,(0:33),0
820,Mark,20,20,(0:15),0
821,Shaun,12,12,(0:41),0
822,Anne,16,16,(0:18),0
823,Anne,17,17,(0:14),0
824,Mark,14,14,(0:37),0
825,Shaun,11,11,(0:31),0
826,Paul,18,18,(0:33),0
827,Jenny,22,22,(0:13),0
828,Mark,16,16,(0:42),0
829,Shaun,13,8,,1
830,Jenny,12,12,(0:46),0
831,Anne,13,13,(0:51),0
832,Paul,17,17,(0:32),0
833,Paul,20,14,,1
834,Shaun,12,12,(0:21),0
835,Mark,18,18,(0:28),0
836,Jenny,13,13,(0:30),0
838,Jenny,10,10,(0:51),0
839,Anne,18,18,(0:31),0
840,Shaun,19,19,(0:11),0
841,Paul,23,18,,1
842,Mark,16,16,(0:03),0
843,Mark,18,18,(0:27),0
844,Jenny,20,18,,1
845,Paul,17,17,(0:21),0
846,Anne,19,19,(0:04),0
847,Shaun,11,11,(0:05),0
848,Jenny,19,19,(0:13),0
849,Mark,14,14,(0:28),0
850,Shaun,16,10,,1
851,Paul,20,20,(0:28),0
852,Anne,20,20,(0:30),0
853,Anne,17,17,(0:12),0
854,Mark,20,19,,1
855,Paul,16,16,(0:23),0
857,Anne,16,12,,1
858,Jenny,19,19,(0:15),0
859,Mark,18,18,(0:19),0
860,Paul,7,7,(1:23),0
861,Shaun,13,13,(0:53),0
