sex,age,emotion,strength,FID,PID
M,20,Anger,3,6,35
M,30,Fear,2,6,36
F,31,Happiness,3,6,37
M,37,Anger,3,6,38
M,31,Anger,4,6,39
F,34,Anger,5,6,40
F,37,Disgust,1,6,41
M,25,Disgust,3,6,42
M,25,Fear,4,6,43
F,33,Happiness,3,6,44
M,29,Happiness,3,6,45
F,51,Anger,2,6,46
F,61,Anger,5,6,47
F,38,Fear,2,6,48
F,41,Happiness,3,6,49
F,30,Anger,3,6,50
F,NA,Happiness,5,6,51
F,60,Anger,5,6,52
M,44,Anger,5,6,53
F,40,Disgust,4,6,54
F,52,Disgust,4,6,55
F,66,Anger,5,6,56
F,20,Happiness,2,6,57
F,32,Happiness,3,6,58
M,31,Happiness,3,6,59
F,23,Anger,3,6,60
M,29,Anger,3,7,1
M,48,Anger,2,7,2
F,58,Anger,5,7,3
F,53,Disgust,3,7,4
F,30,Anger,5,7,5
F,31,Happiness,4,7,6
F,44,Disgust,3,7,7
F,28,Anger,4,7,8
F,58,Anger,2,7,9
M,37,Anger,2,7,10
M,43,Anger,1,7,11
F,64,Anger,5,7,12
F,44,Fear,5,7,13
M,33,Disgust,2,7,14
M,30,Happiness,2,7,15
F,51,Anger,2,7,16
F,36,Happiness,1,7,17
F,23,Fear,4,7,18
M,30,Disgust,3,7,19
F,60,Anger,1,7,20
F,37,Happiness,1,7,21
M,47,Anger,3,7,22
F,20,Anger,5,7,23
F,45,Anger,1,7,24
F,41,Anger,4,7,25
M,26,Fear,5,7,26
M,35,Happiness,1,7,27
F,49,Anger,5,7,28
M,36,Fear,2,7,29
M,18,Happiness,1,7,30
F,42,Anger,2,7,31
M,22,Anger,4,7,32
F,30,Happiness,2,7,33
F,60,Anger,4,7,34
M,20,Sadness,3,7,35
M,30,Happiness,2,7,36
F,31,Disgust,2,7,37
M,37,Anger,2,7,38
M,31,Happiness,1,7,39
F,34,Anger,5,7,40
F,37,Happiness,1,7,41
M,25,Anger,2,7,42
M,25,Surprise,3,7,43
F,33,Happiness,2,7,44
M,29,Disgust,3,7,45
F,51,Anger,1,7,46
F,61,Anger,3,7,47
F,38,Anger,2,7,48
F,41,Anger,1,7,49
F,30,Anger,4,7,50
F,NA,Anger,1,7,51
F,60,Anger,3,7,52
M,44,Disgust,3,7,53
F,40,Anger,4,7,54
F,52,Anger,2,7,55
F,66,Disgust,4,7,56
F,20,Anger,4,7,57
F,32,Happiness,2,7,58
M,31,Anger,2,7,59
F,23,Anger,5,7,60
M,29,Happiness,5,8,1
M,48,Happiness,5,8,2
F,58,Fear,5,8,3
F,53,Happiness,4,8,4
F,30,Surprise,4,8,5
F,31,Happiness,5,8,6
F,44,Happiness,4,8,7
F,28,Happiness,5,8,8
F,58,Happiness,5,8,9
M,37,Happiness,5,8,10
M,43,Happiness,4,8,11
F,64,Happiness,4,8,12
F,44,Surprise,4,8,13
M,33,Happiness,4,8,14
M,30,Surprise,3,8,15
F,51,Fear,2,8,16
F,36,Happiness,3,8,17
F,23,Happiness,2,8,18
M,30,Happiness,3,8,19
F,60,Happiness,4,8,20
F,37,Happiness,2,8,21
M,47,Surprise,3,8,22
F,20,Happiness,5,8,23
F,45,Surprise,4,8,24
F,41,Surprise,4,8,25
M,26,Surprise,4,8,26
M,35,Happiness,5,8,27
F,49,Fear,3,8,28
M,36,Happiness,3,8,29
M,18,Happiness,4,8,30
F,42,Happiness,5,8,31
M,22,Happiness,4,8,32
F,30,Happiness,5,8,33
F,60,Happiness,5,8,34
M,20,Surprise,3,8,35
M,30,Happiness,3,8,36
F,31,Fear,1,8,37
M,37,Happiness,4,8,38
M,31,Happiness,4,8,39
F,34,Happiness,5,8,40
F,37,Happiness,2,8,41
M,25,Surprise,3,8,42
M,25,Happiness,5,8,43
F,33,Surprise,3,8,44
M,29,Happiness,4,8,45
F,51,Happiness,3,8,46
F,61,Happiness,4,8,47
F,38,Happiness,2,8,48
F,41,Happiness,2,8,49
F,30,Happiness,3,8,50
F,NA,Happiness,3,8,51
F,60,Happiness,5,8,52
M,44,Happiness,2,8,53
F,40,Surprise,3,8,54
F,52,Surprise,4,8,55
F,66,Happiness,5,8,56
F,20,Happiness,5,8,57
F,32,NA,NA,8,58
M,31,Happiness,4,8,59
F,23,Fear,2,8,60
M,29,Anger,2,9,1
M,48,Happiness,3,9,2
F,58,Surprise,5,9,3
F,53,Happiness,4,9,4
F,30,Anger,4,9,5
F,31,Happiness,5,9,6
F,44,Happiness,3,9,7
F,28,Surprise,3,9,8
F,58,Happiness,2,9,9
M,37,Disgust,2,9,10
M,43,Happiness,2,9,11
F,64,Happiness,2,9,12
F,44,Fear,3,9,13
M,33,Happiness,2,9,14
M,30,Anger,2,9,15
F,51,Happiness,2,9,16
F,36,Happiness,4,9,17
F,23,Happiness,2,9,18
M,30,Surprise,3,9,19
F,60,Happiness,2,9,20
F,37,Anger,1,9,21
M,47,Happiness,3,9,22
F,20,Happiness,3,9,23
F,45,Happiness,3,9,24
F,41,Happiness,2,9,25
M,26,Happiness,1,9,26
M,35,Happiness,1,9,27
F,49,Happiness,2,9,28
M,36,Happiness,1,9,29
M,18,Happiness,2,9,30
F,42,Happiness,3,9,31
M,22,Happiness,3,9,32
F,30,Happiness,4,9,33
F,60,Anger,3,9,34
M,20,Surprise,2,9,35
M,30,Happiness,1,9,36
F,31,Happiness,2,9,37
M,37,Disgust,2,9,38
M,31,Happiness,3,9,39
F,34,Happiness,5,9,40
F,37,Happiness,2,9,41
M,25,Happiness,2,9,42
M,25,Happiness,4,9,43
F,33,Happiness,4,9,44
M,29,Surprise,3,9,45
F,51,Happiness,1,9,46
F,61,Happiness,1,9,47
F,38,Happiness,1,9,48
F,41,Happiness,3,9,49
F,30,Surprise,3,9,50
F,NA,Surprise,1,9,51
F,60,Happiness,3,9,52
M,44,Disgust,3,9,53
F,40,Disgust,3,9,54
F,52,Surprise,2,9,55
F,66,Surprise,3,9,56
F,20,Happiness,2,9,57
F,32,Happiness,2,9,58
M,31,Happiness,3,9,59
F,23,Happiness,3,9,60
M,29,Happiness,4,10,1
M,48,Happiness,2,10,2
F,58,Happiness,4,10,3
F,53,Happiness,5,10,4
F,30,Happiness,3,10,5
F,31,Happiness,3,10,6
F,44,Happiness,4,10,7
F,28,Happiness,4,10,8
F,58,Happiness,2,10,9
M,37,Happiness,5,10,10
M,43,Happiness,4,10,11
F,64,Happiness,4,10,12
F,44,Happiness,5,10,13
M,33,Happiness,4,10,14
M,30,Happiness,4,10,15
F,51,Happiness,3,10,16
F,36,Happiness,2,10,17
F,23,Happiness,4,10,18
M,30,Happiness,4,10,19
F,60,Happiness,1,10,20
F,37,Happiness,3,10,21
M,47,Happiness,4,10,22
F,20,Happiness,5,10,23
F,45,Happiness,4,10,24
F,41,Happiness,5,10,25
M,26,Happiness,3,10,26
M,35,Happiness,3,10,27
F,49,Happiness,4,10,28
M,36,Happiness,2,10,29
M,18,Happiness,3,10,30
F,42,Happiness,4,10,31
M,22,Happiness,4,10,32
F,30,Happiness,3,10,33
F,60,Happiness,4,10,34
M,20,Happiness,5,10,35
M,30,Happiness,3,10,36
F,31,Happiness,5,10,37
M,37,Happiness,5,10,38
M,31,Happiness,3,10,39
F,34,Happiness,5,10,40
F,37,Happiness,3,10,41
M,25,Happiness,2,10,42
M,25,Happiness,3,10,43
F,33,Happiness,2,10,44
M,29,Happiness,5,10,45
F,51,Happiness,3,10,46
F,61,Happiness,2,10,47
F,38,Happiness,3,10,48
F,41,Happiness,2,10,49
F,30,Fear,3,10,50
F,NA,Happiness,2,10,51
F,60,Happiness,3,10,52
M,44,Happiness,4,10,53
F,40,Happiness,5,10,54
F,52,Happiness,3,10,55
F,66,Happiness,5,10,56
F,20,Happiness,5,10,57
F,32,Happiness,5,10,58
M,31,Happiness,4,10,59
F,23,Happiness,4,10,60
M,29,Disgust,3,11,1
M,48,Disgust,3,11,2
F,58,Anger,5,11,3
F,53,Anger,5,11,4
F,30,Anger,3,11,5
F,31,Anger,4,11,6
F,44,Anger,4,11,7
F,28,Fear,3,11,8
F,58,Fear,3,11,9
M,37,Anger,4,11,10
M,43,Sadness,3,11,11
F,64,Anger,5,11,12
F,44,Fear,4,11,13
M,33,Anger,2,11,14
M,30,Anger,2,11,15
F,51,Disgust,3,11,16
F,36,Disgust,3,11,17
F,23,Anger,4,11,18
M,30,Fear,5,11,19
F,60,Anger,4,11,20
F,37,Disgust,4,11,21
M,47,Anger,5,11,22
F,20,Anger,5,11,23
F,45,Fear,4,11,24
F,41,Anger,3,11,25
M,26,Disgust,2,11,26
M,35,Fear,5,11,27
F,49,Disgust,3,11,28
M,36,Anger,4,11,29
M,18,Sadness,2,11,30
F,42,Anger,4,11,31
M,22,Anger,5,11,32
F,30,Disgust,3,11,33
F,60,Anger,4,11,34
M,20,Anger,4,11,35
M,30,Anger,3,11,36
F,31,Anger,5,11,37
M,37,Disgust,3,11,38
M,31,Anger,3,11,39
F,34,Anger,5,11,40
F,37,Disgust,4,11,41
M,25,Anger,3,11,42
M,25,Anger,4,11,43
F,33,Anger,2,11,44
M,29,Disgust,4,11,45
F,51,Anger,3,11,46
F,61,Anger,5,11,47
F,38,Disgust,2,11,48
F,41,Anger,3,11,49
F,30,Anger,5,11,50
F,NA,Fear,3,11,51
F,60,Anger,4,11,52
M,44,Anger,5,11,53
F,40,Anger,5,11,54
F,52,Anger,5,11,55
F,66,Anger,5,11,56
F,20,Anger,5,11,57
F,32,Disgust,3,11,58
M,31,Anger,5,11,59
F,23,Anger,4,11,60
M,29,Happiness,3,12,1
M,48,Happiness,3,12,2
F,58,Happiness,3,12,3
F,53,Happiness,3,12,4
F,30,Happiness,2,12,5
F,31,Happiness,2,12,6
F,44,Happiness,2,12,7
F,28,Surprise,3,12,8
F,58,Happiness,2,12,9
M,37,Happiness,3,12,10
M,43,Happiness,2,12,11
F,64,Happiness,2,12,12
F,44,Happiness,3,12,13
M,33,Surprise,2,12,14
M,30,Happiness,2,12,15
F,51,Happiness,2,12,16
F,36,Happiness,2,12,17
F,23,Happiness,4,12,18
M,30,Happiness,2,12,19
F,60,Happiness,1,12,20
F,37,Happiness,3,12,21
M,47,Happiness,3,12,22
F,20,Happiness,2,12,23
F,45,Happiness,1,12,24
F,41,Happiness,2,12,25
M,26,Happiness,2,12,26
M,35,Happiness,1,12,27
F,49,Happiness,3,12,28
M,36,Happiness,2,12,29
M,18,Happiness,2,12,30
F,42,Happiness,3,12,31
M,22,Happiness,1,12,32
F,30,Happiness,2,12,33
F,60,Happiness,4,12,34
M,20,Happiness,2,12,35
M,30,Happiness,2,12,36
F,31,Happiness,4,12,37
M,37,Happiness,3,12,38
M,31,Happiness,2,12,39
F,34,Happiness,5,12,40
F,37,Happiness,2,12,41
M,25,Happiness,2,12,42
M,25,Fear,4,12,43
F,33,Happiness,1,12,44
M,29,Surprise,3,12,45
F,51,Happiness,2,12,46
F,61,Happiness,1,12,47
F,38,Happiness,2,12,48
F,41,Happiness,2,12,49
F,30,Happiness,3,12,50
F,NA,Happiness,2,12,51
F,60,Happiness,2,12,52
M,44,Happiness,3,12,53
F,40,Happiness,2,12,54
F,52,Happiness,2,12,55
F,66,Happiness,4,12,56
F,20,Happiness,3,12,57
F,32,Happiness,5,12,58
M,31,Happiness,2,12,59
F,23,Happiness,4,12,60
M,29,Disgust,3,13,1
M,48,Disgust,3,13,2
F,58,Disgust,5,13,3
F,53,Disgust,3,13,4
F,30,Disgust,4,13,5
F,31,Fear,3,13,6
F,44,Anger,2,13,7
F,28,Sadness,2,13,8
F,58,Anger,3,13,9
M,37,Sadness,1,13,10
M,43,Sadness,2,13,11
F,64,Anger,3,13,12
F,44,Fear,3,13,13
M,33,Disgust,3,13,14
M,30,Anger,3,13,15
F,51,Anger,2,13,16
F,36,Sadness,2,13,17
F,23,Disgust,3,13,18
M,30,Fear,1,13,19
F,60,Disgust,2,13,20
F,37,Anger,3,13,21
M,47,Anger,3,13,22
F,20,Anger,1,13,23
F,45,Anger,3,13,24
F,41,Anger,4,13,25
M,26,Anger,2,13,26
M,35,Happiness,1,13,27
F,49,Anger,3,13,28
M,36,Anger,1,13,29
M,18,Surprise,1,13,30
F,42,Disgust,3,13,31
M,22,Sadness,2,13,32
F,30,Anger,2,13,33
F,60,Sadness,2,13,34
M,20,Sadness,1,13,35
M,30,Anger,2,13,36
F,31,Disgust,2,13,37
M,37,Disgust,1,13,38
M,31,Disgust,2,13,39
F,34,Anger,5,13,40
F,37,Disgust,4,13,41
M,25,Disgust,3,13,42
M,25,Disgust,4,13,43
F,33,Anger,2,13,44
M,29,Surprise,2,13,45
F,51,Anger,3,13,46
F,61,Sadness,3,13,47
F,38,Anger,2,13,48
F,41,Sadness,1,13,49
F,30,Disgust,4,13,50
F,NA,Anger,4,13,51
F,60,Anger,1,13,52
M,44,Disgust,4,13,53
F,40,Disgust,5,13,54
F,52,Disgust,2,13,55
F,66,Disgust,3,13,56
F,20,Anger,2,13,57
F,32,Sadness,4,13,58
M,31,Anger,2,13,59
F,23,Anger,3,13,60
M,29,Surprise,4,14,1
M,48,Surprise,2,14,2
F,58,Surprise,4,14,3
F,53,Surprise,2,14,4
F,30,Surprise,2,14,5
F,31,Surprise,4,14,6
F,44,Surprise,4,14,7
F,28,Surprise,4,14,8
F,58,Surprise,4,14,9
M,37,Surprise,4,14,10
M,43,Surprise,2,14,11
F,64,Surprise,3,14,12
F,44,Happiness,3,14,13
M,33,Surprise,4,14,14
M,30,Surprise,5,14,15
F,51,Surprise,1,14,16
F,36,Surprise,4,14,17
F,23,Surprise,3,14,18
M,30,Surprise,2,14,19
F,60,Surprise,3,14,20
F,37,Surprise,2,14,21
M,47,Surprise,4,14,22
F,20,Happiness,5,14,23
F,45,Surprise,5,14,24
F,41,Surprise,3,14,25
M,26,Surprise,5,14,26
M,35,Surprise,3,14,27
F,49,Surprise,2,14,28
M,36,Surprise,3,14,29
M,18,Surprise,2,14,30
F,42,Surprise,2,14,31
M,22,Surprise,4,14,32
F,30,Surprise,2,14,33
F,60,Surprise,3,14,34
M,20,Surprise,4,14,35
M,30,Surprise,3,14,36
F,31,Surprise,3,14,37
M,37,Surprise,4,14,38
M,31,Surprise,1,14,39
F,34,Surprise,5,14,40
F,37,Surprise,3,14,41
M,25,Surprise,4,14,42
M,25,Happiness,3,14,43
F,33,Surprise,3,14,44
M,29,Surprise,4,14,45
F,51,Surprise,3,14,46
F,61,Fear,2,14,47
F,38,Surprise,3,14,48
F,41,Surprise,2,14,49
F,30,Sadness,2,14,50
F,NA,Surprise,3,14,51
F,60,Surprise,1,14,52
M,44,Surprise,4,14,53
F,40,Surprise,4,14,54
F,52,Surprise,4,14,55
F,66,Surprise,4,14,56
F,20,Surprise,4,14,57
F,32,Surprise,3,14,58
M,31,Surprise,1,14,59
F,23,Happiness,1,14,60
M,29,Anger,2,15,1
M,48,Disgust,2,15,2
F,58,Disgust,4,15,3
F,53,Disgust,2,15,4
F,30,Anger,3,15,5
F,31,Disgust,4,15,6
F,44,Disgust,3,15,7
F,28,Disgust,3,15,8
F,58,Disgust,2,15,9
M,37,Disgust,4,15,10
M,43,Anger,2,15,11
F,64,Disgust,4,15,12
F,44,Sadness,3,15,13
M,33,Disgust,5,15,14
M,30,Anger,3,15,15
F,51,Anger,1,15,16
F,36,Happiness,2,15,17
F,23,Surprise,4,15,18
M,30,Happiness,2,15,19
F,60,Disgust,3,15,20
F,37,Happiness,2,15,21
M,47,Anger,3,15,22
F,20,Happiness,2,15,23
F,45,Disgust,3,15,24
F,41,Happiness,3,15,25
M,26,Surprise,1,15,26
M,35,Surprise,1,15,27
F,49,Disgust,3,15,28
M,36,Disgust,2,15,29
M,18,Surprise,2,15,30
F,42,Surprise,2,15,31
M,22,Happiness,2,15,32
F,30,Happiness,3,15,33
F,60,Anger,3,15,34
M,20,Happiness,2,15,35
M,30,Happiness,2,15,36
F,31,Happiness,2,15,37
M,37,Disgust,2,15,38
M,31,Disgust,1,15,39
F,34,Disgust,5,15,40
F,37,Happiness,1,15,41
M,25,Disgust,2,15,42
M,25,Surprise,4,15,43
F,33,Happiness,3,15,44
M,29,Surprise,4,15,45
F,51,Anger,1,15,46
F,61,Anger,3,15,47
F,38,Disgust,2,15,48
F,41,Happiness,2,15,49
F,30,Surprise,3,15,50
F,NA,Disgust,2,15,51
F,60,Anger,1,15,52
M,44,Happiness,2,15,53
F,40,Anger,3,15,54
F,52,Disgust,3,15,55
F,66,Disgust,3,15,56
F,20,Happiness,2,15,57
F,32,Anger,3,15,58
M,31,Disgust,2,15,59
F,23,Happiness,1,15,60
M,29,Happiness,2,16,1
M,48,Happiness,2,16,2
F,58,Happiness,3,16,3
F,53,Fear,2,16,4
F,30,Anger,2,16,5
F,31,Happiness,1,16,6
F,44,Happiness,2,16,7
F,28,Disgust,3,16,8
F,58,Happiness,2,16,9
M,37,Happiness,2,16,10
M,43,Happiness,2,16,11
F,64,Happiness,2,16,12
F,44,Happiness,5,16,13
M,33,Sadness,2,16,14
M,30,Happiness,3,16,15
F,51,Happiness,2,16,16
F,36,Happiness,3,16,17
F,23,Happiness,2,16,18
M,30,Happiness,3,16,19
F,60,Happiness,1,16,20
F,37,Happiness,2,16,21
M,47,Happiness,2,16,22
F,20,Happiness,5,16,23
F,45,Happiness,1,16,24
F,41,Sadness,2,16,25
M,26,Happiness,2,16,26
M,35,Happiness,1,16,27
F,49,Sadness,2,16,28
M,36,Happiness,1,16,29
M,18,Happiness,1,16,30
F,42,Happiness,2,16,31
M,22,Happiness,3,16,32
F,30,Happiness,2,16,33
F,60,Happiness,2,16,34
M,20,Happiness,1,16,35
M,30,Happiness,1,16,36
F,31,Happiness,3,16,37
M,37,Happiness,2,16,38
M,31,Happiness,2,16,39
F,34,Happiness,5,16,40
F,37,Happiness,1,16,41
M,25,Disgust,1,16,42
M,25,Happiness,3,16,43
F,33,Happiness,3,16,44
M,29,Surprise,2,16,45
F,51,Happiness,1,16,46
F,61,Happiness,1,16,47
F,38,Happiness,2,16,48
F,41,Happiness,2,16,49
F,30,Anger,2,16,50
F,NA,Happiness,1,16,51
F,60,Happiness,2,16,52
