memMemberNo,Gender,Age,StartDate,BMI,Freq
148,M,80,12/10/2013,NA,6
149,F,76,7/10/2013,NA,91
150,F,58,25/03/2015,NA,5
151,F,79,13/11/2014,NA,2
152,F,62,14/10/2013,NA,1
153,F,66,17/03/2015,NA,2
154,F,57,5/10/2013,NA,3
155,M,78,29/12/2015,NA,25
156,F,53,28/05/2014,NA,4
157,F,77,4/11/2015,23.37,8
158,F,41,5/01/2014,NA,3
159,M,67,26/11/2014,NA,3
160,F,77,18/04/2014,NA,20
161,F,71,21/01/2016,23.06,4
162,F,77,24/01/2014,NA,1
163,F,48,9/09/2014,NA,19
164,M,80,16/10/2014,NA,100
165,F,78,16/03/2015,NA,1
166,F,61,10/10/2013,NA,1
167,M,53,24/01/2015,NA,2
168,M,74,16/10/2013,NA,11
169,F,53,4/10/2013,NA,26
170,F,46,15/11/2013,NA,1
171,M,55,25/11/2013,NA,147
172,M,66,30/10/2013,NA,73
173,F,37,10/05/2015,25.15,2
174,M,80,21/04/2015,25.15,8
175,F,61,1/09/2015,24.8,2
176,F,77,3/10/2013,NA,2
177,F,75,24/11/2015,24.17,1
178,F,69,10/07/2015,NA,1
179,M,78,1/04/2015,NA,2
180,M,37,14/11/2013,NA,1
181,F,42,14/11/2015,NA,1
182,F,77,19/06/2014,NA,10
183,F,74,10/06/2015,24.75,1
184,M,75,29/09/2015,NA,1
185,F,60,27/05/2015,35.73,1
186,F,40,25/11/2015,NA,1
187,M,58,14/05/2014,NA,87
188,M,61,14/08/2015,25.98,64
189,M,55,5/11/2013,NA,21
190,M,76,7/10/2014,NA,29
191,F,40,5/01/2015,NA,11
192,F,63,14/01/2016,NA,2
193,M,77,5/02/2014,NA,41
194,F,58,14/02/2014,NA,16
195,F,65,26/09/2013,NA,61
196,F,58,26/07/2015,NA,6
197,F,69,22/06/2015,33.75,9
198,M,73,22/06/2015,25.46,9
199,F,51,4/08/2014,NA,2
200,F,66,6/03/2014,NA,2
201,F,53,19/05/2015,34.36,2
202,F,50,7/01/2014,NA,34
203,F,48,18/08/2015,NA,52
204,F,67,6/03/2014,NA,2
205,M,69,20/01/2016,NA,7
206,M,65,18/09/2014,NA,136
207,F,48,29/03/2015,NA,3
208,F,61,20/03/2015,NA,22
209,F,77,18/04/2014,NA,18
210,M,54,11/10/2013,NA,26
211,F,57,23/09/2013,NA,24
212,F,53,16/07/2015,NA,2
213,F,45,12/10/2013,NA,50
214,M,58,30/09/2013,NA,1
215,F,86,11/12/2013,NA,1
216,F,44,13/07/2014,NA,1
217,M,77,19/07/2014,NA,4
218,F,42,24/01/2015,NA,1
219,F,58,25/03/2014,NA,14
220,F,47,7/10/2013,NA,21
221,F,61,13/08/2014,NA,4
222,F,84,4/10/2013,NA,44
223,M,56,15/10/2013,NA,1
224,F,51,21/05/2015,NA,26
225,M,59,13/10/2013,NA,14
226,F,79,3/01/2014,NA,29
227,F,45,18/09/2013,NA,1
228,F,68,11/08/2014,NA,1
229,F,62,30/09/2015,NA,9
230,F,72,31/10/2013,NA,17
231,F,57,16/07/2015,NA,1
232,F,71,16/09/2013,NA,44
233,F,65,2/10/2013,NA,18
234,F,66,31/10/2015,NA,2
235,F,48,12/01/2014,NA,1
236,F,51,10/02/2015,NA,2
237,M,80,24/11/2013,NA,67
238,M,53,18/11/2015,NA,1
239,F,53,18/11/2015,NA,1
240,F,41,9/04/2014,NA,31
241,M,66,13/01/2015,NA,1
242,F,46,17/09/2013,NA,4
243,F,54,27/03/2015,NA,10
244,F,73,1/10/2013,NA,2
245,F,76,25/09/2013,NA,24
246,M,60,16/04/2015,NA,12
247,F,61,26/11/2013,NA,38
248,F,56,10/10/2013,NA,1
249,F,66,4/01/2016,NA,2
250,F,77,13/09/2015,NA,1
251,M,80,8/10/2013,NA,7
252,F,52,23/12/2015,NA,1
253,F,57,26/01/2015,NA,4
254,F,45,8/03/2014,NA,3
255,M,54,29/11/2013,NA,45
256,M,69,22/10/2013,NA,105
257,F,50,14/10/2013,NA,34
258,M,77,17/01/2014,NA,1
259,F,52,9/08/2015,NA,1
260,F,62,18/06/2015,NA,1
261,M,79,28/10/2013,NA,21
262,F,60,2/10/2013,NA,36
263,M,57,7/01/2016,24.05,3
264,M,82,8/02/2016,NA,6
265,F,42,10/01/2014,NA,4
266,F,60,29/09/2014,NA,18
267,F,48,4/10/2013,NA,2
268,F,58,26/10/2013,NA,1
269,M,67,26/10/2013,NA,2
270,F,69,2/10/2013,NA,8
271,F,49,16/01/2014,NA,13
272,F,52,9/01/2014,NA,2
273,M,77,18/09/2013,NA,3
274,F,75,18/09/2013,NA,3
275,M,61,14/10/2013,NA,40
276,F,72,6/02/2014,NA,10
277,F,74,28/01/2016,26.04,7
278,F,46,27/09/2015,NA,15
279,M,59,17/10/2013,NA,13
280,F,53,7/01/2014,NA,9
281,F,48,9/01/2014,NA,1
282,F,67,21/10/2013,NA,36
283,F,63,27/10/2013,NA,56
284,F,45,8/01/2014,NA,3
285,F,52,24/04/2014,NA,1
286,F,79,18/10/2013,NA,1
287,F,38,26/09/2015,NA,1
288,M,56,29/07/2015,NA,16
289,M,77,23/03/2016,NA,2
290,M,53,3/11/2013,NA,46
291,F,52,12/03/2014,NA,2
292,M,72,15/04/2014,NA,1
293,F,48,20/11/2013,NA,25
294,M,90,3/12/2013,NA,77
295,F,81,6/03/2015,NA,10
296,F,72,10/04/2015,NA,2
297,F,67,21/10/2013,NA,16
298,M,72,21/10/2013,NA,16
299,F,75,30/06/2014,NA,119
300,F,51,26/11/2015,NA,1
301,M,79,13/10/2014,NA,89
302,F,71,16/07/2015,NA,8
303,F,51,5/10/2013,NA,126
304,F,50,7/05/2014,NA,8
305,F,36,29/10/2013,NA,1
306,M,80,21/10/2013,NA,12
307,F,70,30/09/2013,NA,92
308,F,76,28/01/2016,NA,7
309,F,67,12/11/2014,NA,5
310,M,59,27/11/2013,NA,2
311,M,54,9/09/2015,NA,1
312,F,64,5/12/2013,NA,1
313,F,67,4/11/2015,24.07,3
314,M,70,4/11/2015,21.18,3
315,F,62,10/07/2014,NA,1
316,M,76,28/10/2013,NA,4
317,F,55,19/09/2013,NA,48
318,F,49,23/06/2014,NA,31
319,F,70,30/10/2014,NA,14
320,M,67,6/03/2015,NA,31
321,F,75,10/10/2013,NA,7
322,F,67,6/03/2015,NA,33
323,F,62,29/09/2015,NA,1
324,M,61,19/10/2013,NA,178
325,F,54,19/10/2013,NA,143
326,F,69,27/11/2015,NA,3
327,F,46,12/09/2013,NA,48
328,F,75,9/06/2015,NA,28
329,F,59,8/11/2013,NA,2
330,M,78,12/08/2015,NA,2
331,M,75,28/01/2014,NA,13
332,M,80,19/09/2014,NA,17
333,F,44,19/10/2013,NA,8
334,F,69,9/06/2015,NA,24
335,F,52,18/05/2014,NA,13
336,F,76,19/05/2015,NA,1
337,F,57,18/09/2013,NA,77
338,M,69,11/02/2015,NA,55
339,F,60,22/01/2014,NA,21
340,M,48,14/02/2015,NA,114
341,M,74,3/01/2014,NA,12
342,F,81,19/01/2016,NA,3
343,F,49,1/09/2015,NA,1
344,F,49,9/06/2015,23.19,8
345,F,50,3/09/2014,NA,6
346,M,75,5/10/2015,NA,2
347,F,72,17/09/2013,NA,6
348,F,75,9/06/2014,NA,38
349,M,62,3/09/2015,NA,25
350,F,52,19/06/2014,NA,2
351,M,65,28/02/2015,NA,5
352,F,64,28/02/2015,NA,3
353,M,59,18/11/2013,NA,2
354,M,65,4/11/2014,NA,15
355,M,75,16/09/2014,NA,18
356,M,57,7/10/2013,22.66,1
357,F,57,7/10/2013,27.29,1
358,M,62,25/08/2014,NA,3
359,F,66,19/11/2013,NA,10
360,F,70,12/06/2014,NA,2
361,F,56,7/02/2014,NA,2
362,M,78,11/11/2013,NA,82
363,F,74,9/07/2015,NA,2
364,F,72,16/04/2015,NA,3
365,F,82,12/10/2015,NA,1
366,F,47,16/09/2013,NA,6
367,F,42,2/04/2015,NA,13
368,F,75,1/09/2015,NA,4
369,F,72,21/03/2014,NA,2
370,F,64,28/07/2015,NA,13
371,F,65,16/05/2014,NA,43
372,F,71,1/05/2014,NA,7
373,F,75,15/11/2013,NA,10
374,F,41,1/05/2014,NA,10
375,F,67,16/10/2013,NA,42
376,M,43,1/11/2013,NA,3
377,F,40,12/01/2015,NA,48
378,M,57,14/01/2014,NA,25
379,F,75,21/10/2013,NA,6
380,F,64,8/11/2013,NA,3
381,M,68,9/05/2014,NA,1
382,M,68,18/09/2013,NA,4
383,F,70,2/11/2013,NA,1
384,F,42,17/06/2015,NA,2
385,F,75,8/11/2013,NA,2
386,F,83,1/10/2013,NA,71
387,F,47,18/01/2016,NA,3
388,M,49,22/10/2013,NA,22
389,M,50,7/04/2015,NA,1
390,F,46,2/09/2014,NA,18
391,M,51,31/01/2014,NA,4
392,M,77,17/11/2014,NA,2
393,F,49,3/10/2013,NA,5
394,F,64,24/10/2013,NA,2
395,M,75,2/09/2014,NA,40
396,F,46,20/02/2015,NA,7
397,M,75,18/09/2013,NA,1
398,F,74,28/10/2013,NA,14
399,M,76,18/01/2014,NA,5
400,M,79,17/09/2013,NA,11
401,F,78,17/09/2013,NA,10
402,F,56,6/10/2013,NA,35
403,F,59,24/09/2015,27.29,3
404,M,62,6/06/2014,NA,15
405,M,64,18/03/2014,NA,32
406,F,75,9/11/2015,NA,1
407,M,43,20/10/2014,NA,1
408,F,75,29/09/2015,NA,10
409,F,44,6/10/2015,NA,9
410,F,77,19/06/2015,33.49,8
411,F,65,23/07/2015,NA,7
412,F,73,1/09/2015,NA,2
413,F,77,14/10/2015,29.8,5
414,F,43,15/01/2014,NA,3
415,M,78,10/06/2015,25.15,5
416,F,66,31/08/2014,NA,114
417,F,40,5/10/2015,NA,4
418,F,55,15/01/2014,NA,2
419,F,80,22/11/2015,NA,3
420,M,68,19/10/2013,NA,17
421,F,82,10/01/2014,NA,11
422,F,49,31/01/2014,NA,21
423,F,71,28/11/2013,NA,3
424,F,74,18/10/2013,NA,32
425,F,66,7/08/2015,22.81,20
426,F,48,29/09/2015,NA,7
427,F,50,10/02/2015,NA,1
428,F,48,19/04/2014,NA,4
429,F,74,20/09/2013,NA,45
430,M,76,6/08/2014,NA,162
431,F,69,24/09/2013,NA,32
432,F,36,21/05/2015,NA,1
433,M,73,23/01/2014,NA,13
434,F,62,22/04/2014,NA,9
435,F,66,3/01/2014,NA,1
436,F,75,9/11/2015,NA,2
437,F,75,20/01/2016,NA,1
438,M,44,12/09/2015,NA,1
439,F,74,21/02/2014,NA,1
440,M,76,21/02/2014,NA,1
441,F,74,20/06/2014,NA,4
442,M,84,24/07/2015,NA,6
443,F,82,24/07/2015,NA,4
444,F,71,23/07/2015,23.9,1
445,M,77,8/09/2014,NA,48
446,M,53,4/12/2013,NA,6
447,F,39,3/11/2013,NA,1
448,F,37,18/11/2013,NA,7
449,M,67,12/03/2014,NA,4
450,F,71,16/10/2014,NA,2
451,F,50,20/07/2014,NA,3
452,F,64,11/01/2014,NA,20
453,F,70,23/11/2015,NA,1
454,F,71,20/01/2016,NA,1
455,F,74,12/12/2013,NA,11
456,F,42,11/09/2014,NA,7
457,F,80,25/01/2016,21.99,3
458,F,59,28/01/2014,NA,2
459,F,66,30/09/2013,NA,3
460,M,74,28/11/2013,NA,40
461,M,54,7/04/2014,NA,3
462,F,28,11/07/2014,NA,29
463,F,63,25/09/2013,NA,4
464,M,69,15/09/2013,NA,94
465,M,51,27/07/2014,NA,27
466,M,74,5/10/2013,NA,2
467,F,38,23/10/2014,NA,3
468,F,43,26/06/2014,NA,1
469,M,68,1/12/2013,NA,38
470,M,50,12/12/2013,NA,56
471,M,73,26/11/2013,NA,34
472,F,47,17/09/2013,NA,1
473,F,46,7/09/2014,NA,1
474,F,74,18/01/2014,NA,59
475,M,76,12/04/2015,21.56,70
476,F,71,30/10/2013,NA,2
477,M,75,9/10/2013,NA,3
478,M,53,4/10/2013,NA,46
479,M,74,18/09/2013,NA,32
480,F,47,10/10/2013,NA,1
481,F,74,5/01/2016,21.14,3
482,F,75,11/01/2014,NA,31
483,F,53,30/05/2014,NA,38
484,M,67,6/11/2013,NA,6
485,F,57,21/10/2013,NA,3
486,F,55,28/09/2014,NA,5
487,F,55,19/08/2014,NA,18
488,F,50,11/02/2014,NA,4
489,M,46,15/07/2014,NA,3
490,F,68,27/06/2014,NA,3
491,M,69,16/09/2013,NA,45
492,M,76,12/10/2015,NA,1
493,F,68,24/01/2014,NA,6
494,F,67,27/08/2015,NA,1
495,M,49,18/03/2014,NA,1
496,F,49,8/05/2015,NA,6
497,F,49,23/10/2014,NA,37
498,F,49,12/03/2015,NA,2
499,F,59,6/06/2015,NA,6
500,F,57,3/06/2015,18.66,11
501,F,79,22/02/2016,NA,1
502,M,31,5/05/2015,20.05,4
503,F,65,6/05/2014,NA,9
504,F,44,2/11/2014,NA,4
505,M,74,20/02/2015,NA,8
506,F,52,8/04/2015,27,1
507,F,44,5/02/2015,NA,6
508,F,47,13/09/2013,NA,3
509,F,73,20/02/2015,NA,8
510,M,38,15/10/2013,NA,10
511,M,54,6/11/2013,NA,2
512,M,77,20/12/2014,NA,3
513,M,73,17/09/2013,NA,49
514,F,58,12/03/2015,NA,5
515,M,75,26/01/2015,NA,5
516,M,74,26/06/2015,NA,2
517,F,58,21/09/2013,NA,1
518,F,58,26/03/2015,NA,39
519,F,67,5/01/2014,NA,3
520,F,55,19/10/2013,NA,1
521,F,65,19/01/2015,NA,4
522,F,51,3/05/2014,NA,29
523,M,76,3/10/2013,NA,78
524,F,69,12/08/2014,NA,1
525,M,46,29/09/2013,NA,1
526,M,74,23/10/2015,30.23,13
527,F,45,27/12/2013,NA,3
528,M,57,15/09/2013,NA,26
529,F,52,20/12/2015,NA,2
530,F,46,2/09/2014,NA,2
531,M,77,12/11/2013,NA,5
532,M,71,28/01/2014,NA,1
533,F,76,16/09/2015,NA,6
534,M,38,25/05/2014,NA,44
535,F,69,16/10/2013,NA,23
536,M,63,28/01/2014,NA,220
537,M,62,22/04/2014,NA,25
538,M,70,5/01/2016,NA,10
539,M,50,3/02/2015,NA,3
540,M,61,10/01/2014,NA,1
541,F,74,3/02/2014,NA,4
542,F,74,23/09/2013,NA,15
543,F,68,14/03/2014,NA,7
544,M,76,28/10/2013,NA,15
545,F,65,8/12/2015,NA,16
546,F,41,26/10/2013,NA,34
547,F,69,31/03/2014,NA,2
548,M,78,12/02/2014,NA,43
549,M,83,26/02/2015,NA,3
550,M,78,12/02/2014,NA,47
551,F,77,4/03/2014,NA,19
552,F,31,18/10/2013,NA,4
553,F,72,9/01/2014,NA,1
554,M,71,10/02/2015,NA,3
555,F,74,8/01/2014,NA,10
556,F,63,15/01/2014,NA,38
557,M,72,12/08/2014,NA,37
558,F,45,9/10/2014,NA,9
559,F,54,10/02/2016,NA,3
560,M,61,19/03/2016,NA,1
561,F,59,25/09/2014,NA,13
562,F,56,29/06/2015,NA,1
563,M,63,1/07/2014,NA,1
564,F,72,7/10/2013,NA,25
565,F,59,15/10/2015,NA,7
566,M,68,24/01/2015,NA,26
567,M,67,17/10/2013,NA,8
568,F,45,7/05/2015,NA,5
569,F,32,19/11/2013,NA,5
570,F,64,26/10/2013,NA,6
571,F,67,14/10/2013,NA,67
572,F,69,3/03/2014,NA,1
573,M,35,12/03/2016,NA,4
574,F,47,27/01/2014,NA,1
575,F,69,30/03/2016,NA,1
576,F,69,5/11/2015,NA,5
577,M,65,17/03/2014,NA,10
578,F,46,4/10/2013,NA,10
579,M,70,8/07/2015,NA,10
580,F,42,14/09/2014,NA,1
581,M,76,21/11/2014,NA,25
582,F,62,10/07/2015,NA,5
583,F,54,20/05/2014,NA,37
584,F,69,26/04/2014,NA,1
585,F,68,1/12/2013,NA,19
586,F,57,26/10/2015,25.71,4
587,F,42,20/10/2013,NA,1
588,M,45,9/04/2014,NA,2
589,F,45,26/10/2013,NA,5
590,F,73,20/09/2013,NA,12
591,F,49,15/01/2016,NA,6
592,F,73,5/10/2015,NA,4
593,M,73,11/10/2013,NA,7
594,M,41,27/02/2014,NA,18
595,F,43,5/05/2015,NA,2
596,M,71,30/09/2014,NA,45
597,F,39,8/10/2013,NA,22
598,F,43,22/01/2015,NA,2
599,M,49,20/01/2014,NA,69
600,F,51,14/02/2014,NA,43
601,M,66,27/09/2013,NA,1
602,M,63,15/01/2015,NA,7
603,M,71,30/01/2015,NA,14
604,F,43,13/01/2014,NA,3
605,F,72,24/09/2014,NA,1
606,M,68,29/11/2013,NA,1
607,M,39,19/01/2015,NA,16
608,M,67,1/02/2014,NA,13
609,F,63,1/02/2014,NA,22
610,F,50,7/02/2014,NA,1
611,F,30,7/06/2014,NA,1
612,F,55,8/01/2015,NA,72
613,M,58,8/03/2014,NA,29
614,F,72,1/08/2014,NA,51
615,F,48,10/11/2015,NA,4
616,F,40,10/07/2015,NA,5
617,F,51,28/01/2016,NA,12
618,F,61,19/08/2014,NA,8
619,M,86,12/08/2014,NA,4
620,M,45,31/01/2014,NA,3
621,F,44,31/01/2014,NA,3
622,M,73,4/01/2016,NA,1
623,F,50,27/02/2014,NA,24
624,M,72,2/10/2013,NA,6
625,F,58,23/04/2014,NA,47
626,F,59,29/12/2014,NA,8
627,M,74,21/07/2015,NA,1
628,F,74,20/08/2014,NA,1
629,F,44,30/01/2016,NA,4
630,F,72,30/03/2015,NA,4
631,F,61,9/09/2014,NA,55
632,M,67,7/11/2013,NA,4
633,M,80,9/12/2013,NA,16
634,M,65,20/08/2014,NA,36
635,F,36,27/11/2013,NA,1
636,F,70,25/09/2013,NA,69
637,F,40,24/05/2015,NA,1
638,F,59,19/02/2014,NA,14
639,F,45,9/02/2015,NA,54
640,M,74,9/02/2015,NA,40
641,M,76,23/11/2013,NA,107
642,M,68,1/12/2015,NA,11
643,F,66,16/09/2013,NA,37
644,F,67,24/02/2016,32.32,6
645,M,65,19/10/2013,NA,9
646,M,66,13/11/2013,NA,1
647,F,37,6/02/2014,NA,2
648,M,72,26/10/2013,NA,17
649,F,43,13/01/2016,NA,2
650,M,45,4/12/2013,NA,44
651,F,69,3/01/2014,NA,2
652,F,40,1/05/2014,NA,3
653,M,70,27/10/2013,NA,7
654,F,67,27/10/2013,NA,8
655,F,70,8/08/2015,NA,1
656,M,75,22/10/2014,NA,55
657,M,51,7/01/2016,23.96,3
658,F,75,16/03/2015,NA,26
659,M,82,16/03/2015,NA,12
660,F,75,13/05/2014,NA,67
661,M,65,18/11/2013,NA,3
662,F,63,17/11/2013,NA,2
663,M,75,12/09/2013,NA,40
664,F,41,12/09/2013,NA,6
665,F,46,5/10/2014,NA,2
666,M,63,8/05/2015,NA,1
667,F,37,30/07/2015,23.34,2
668,F,47,16/09/2013,NA,1
669,M,62,22/11/2014,NA,1
670,M,72,13/10/2013,NA,109
671,M,51,14/09/2015,NA,15
672,F,43,26/02/2015,NA,13
673,F,42,17/03/2015,NA,21
674,F,51,19/10/2014,NA,1
675,F,67,4/03/2014,NA,1
676,M,75,29/11/2015,NA,2
677,F,70,18/03/2014,NA,1
678,F,39,30/12/2013,NA,23
679,M,69,21/10/2014,NA,2
680,M,70,7/10/2014,NA,3
681,M,65,1/05/2014,NA,4
682,M,57,25/05/2014,NA,1
683,M,68,27/07/2015,NA,4
684,F,73,14/12/2013,NA,3
685,M,58,29/06/2015,NA,1
686,F,35,23/10/2015,NA,5
687,M,37,23/10/2015,NA,4
688,F,38,14/01/2015,NA,1
689,M,40,16/01/2015,NA,3
690,F,75,25/09/2014,NA,10
691,F,65,31/10/2013,NA,22
692,M,36,19/02/2014,NA,1
693,F,63,25/10/2013,NA,13
694,F,72,20/04/2015,NA,3
695,F,44,15/10/2013,NA,3
696,F,46,1/11/2013,NA,4
697,F,66,21/11/2015,NA,5
698,F,69,30/09/2013,NA,23
699,F,67,17/09/2013,NA,25
700,F,68,26/04/2015,NA,1
701,F,79,14/03/2014,NA,51
702,F,73,1/10/2013,NA,5
703,F,45,29/09/2013,NA,3
704,F,47,6/11/2013,NA,1
705,F,44,23/06/2014,NA,1
706,F,69,9/08/2014,NA,2
707,F,70,28/07/2014,NA,11
708,M,39,11/01/2014,NA,14
709,F,66,17/10/2013,NA,20
710,F,72,30/05/2014,NA,25
711,F,47,15/10/2013,NA,1
712,F,34,25/07/2014,NA,2
713,F,48,1/03/2015,NA,10
714,M,77,31/03/2014,NA,12
715,F,53,13/01/2014,NA,5
716,F,51,17/07/2014,NA,24
717,F,37,12/03/2014,NA,5
718,F,45,30/07/2014,NA,6
719,F,65,21/10/2015,NA,2
720,F,48,16/12/2014,NA,46
721,F,50,6/09/2015,NA,14
722,F,42,14/02/2014,NA,36
723,F,45,7/11/2015,NA,3
724,M,72,4/03/2015,NA,3
725,M,74,29/04/2015,NA,2
726,F,37,14/06/2014,NA,8
727,F,62,5/08/2014,NA,23
728,F,53,6/11/2015,NA,10
729,F,43,7/03/2015,NA,1
730,F,53,6/10/2013,NA,12
731,F,48,3/08/2014,NA,2
732,F,36,1/02/2014,NA,2
733,F,62,8/08/2015,NA,3
734,F,47,11/02/2016,NA,1
735,F,47,31/10/2013,NA,2
736,F,71,25/02/2015,NA,27
737,F,72,9/04/2015,28.03,1
738,F,73,9/03/2016,NA,7
739,M,75,23/10/2015,30.12,26
740,M,73,16/10/2013,NA,1
741,M,72,15/01/2014,NA,4
742,F,57,26/11/2013,NA,6
743,M,72,23/10/2013,NA,10
744,F,64,2/10/2013,NA,4
745,F,73,7/10/2013,NA,85
746,F,62,12/01/2015,NA,4
747,F,31,24/06/2014,NA,4
748,F,34,9/09/2014,NA,1
749,F,71,6/11/2014,NA,4
750,M,49,3/03/2015,NA,1
751,F,65,20/09/2013,NA,81
752,M,58,11/08/2015,NA,24
753,F,79,18/03/2015,NA,6
754,M,38,2/02/2015,NA,1
755,F,43,21/10/2013,NA,6
756,M,49,12/05/2014,NA,74
757,F,67,27/01/2015,NA,16
758,F,53,27/09/2013,NA,44
759,M,71,24/01/2014,NA,12
760,F,68,6/06/2014,NA,1
761,M,71,13/03/2015,NA,1
762,M,73,10/11/2013,NA,1
763,M,77,6/03/2015,NA,16
764,M,64,30/11/2015,NA,12
765,F,31,10/02/2015,NA,7
766,M,76,7/05/2015,31.5,3
767,F,49,18/03/2014,NA,8
768,F,82,8/11/2013,NA,2
769,F,67,1/10/2013,NA,11
770,F,50,2/09/2014,NA,6
771,F,70,27/08/2014,NA,1
772,F,67,2/10/2013,NA,73
